#Name,l_deg,b_deg,RA_deg,Dec_deg,dRA_asec,dDec_asec,Peak_mJybm,dPeak_mJybm,Flux_mJy,dFlux_mJy,Angscale_asec,dAngscale_asec,AngscaleDecon_asec,gaussMajor_asec,dGaussMajor_asec,gaussMinor_asec,dGaussMminor_asec,gaussPosangle_deg,dGaussPosangle_deg,RMS_mJybm,Sky_mJybm,Sigma,mType,fArtefact,fCluster,fEdge,fHiNoise,fHi5Sig,fNearBright,fSmoothWeighting,fOverlap7sig,fOverlap5sig
G048.9901-00.2988,048.99010,-00.29878,290.60881,+14.11101,00.21,00.15,00005.44,00000.81,00007.53,00001.66,01.764,00.170,,02.073,00.318,01.500,00.176,71.670,14.238,00.61,-0.027,0008.0,G,0,0,0,1,1,0,0,0,0
G049.2679-00.3374,049.26792,-00.33743,290.77918,+14.33773,00.40,00.45,00005.97,00000.78,00102.61,00014.03,06.216,00.497,06.0,06.545,00.744,05.905,00.664,03.996,43.483,00.83,-0.191,0007.6,G,0,0,0,1,0,0,1,0,0
G049.3666-00.3010,049.36663,-00.30104,290.79419,+14.44191,00.36,00.55,00029.71,00005.72,00180.93,00040.14,03.702,00.505,03.4,04.500,00.915,03.045,00.554,14.235,18.289,03.37,-0.675,0009.6,G,0,1,0,1,0,0,1,0,0
G049.4640-00.3511,049.46400,-00.35108,290.88745,+14.50412,00.51,00.49,00057.82,00005.58,00698.65,00099.44,05.761,00.038,05.6,,,,,,,04.57,-0.157,0011.7,P,0,0,0,1,0,0,1,0,1
G049.4891-00.3763,049.48914,-00.37627,290.92267,+14.51428,01.40,01.31,00057.69,00006.21,00217.31,00036.08,03.065,00.048,02.7,,,,,,,04.94,0.051,0010.7,P,0,1,0,1,0,0,1,1,0
G049.4905-00.3688,049.49053,-00.36881,290.91637,+14.51927,00.14,00.14,00335.65,00029.97,03821.72,00365.24,05.758,00.008,05.6,,,,,,,05.04,-0.044,0065.7,P,0,0,0,1,0,0,1,0,0
G050.3152+00.6762,050.31525,+00.67623,290.36462,+15.73920,00.23,00.21,00046.28,00004.12,00081.31,00008.07,02.107,00.007,01.5,,,,,,,00.26,-0.013,0176.8,P,0,1,0,0,0,0,0,1,0
G050.3157+00.6747,050.31566,+00.67475,290.36738,+15.73935,00.28,00.28,00002.70,00000.25,00073.26,00008.30,09.822,00.030,09.7,,,,,,,00.26,-0.008,0009.4,P,0,1,0,0,0,0,0,1,0
G051.6785+00.7193,051.67854,+00.71934,290.99510,+16.96154,00.10,00.10,00015.87,00001.43,00022.55,00002.07,01.788,00.032,,01.984,00.051,01.612,00.039,02.741,02.641,00.23,-0.000,0066.0,G,0,0,0,0,0,0,0,0,0
G052.7533+00.3340,052.75329,+00.33397,291.88421,+17.72412,00.11,00.11,00016.62,00001.48,00386.03,00036.54,08.660,00.007,08.5,,,,,,,00.24,-0.013,0067.3,P,0,0,0,0,0,0,0,0,0
G053.9589+00.0320,053.95892,+00.03201,292.77174,+18.63803,00.35,00.35,00021.48,00001.92,00046.00,00004.73,02.315,00.011,01.8,,,,,,,00.28,-0.004,0075.1,P,0,0,0,0,0,0,0,0,0
G058.7739+00.6457,058.77387,+00.64570,294.70272,+23.14448,00.47,00.40,00001.44,00000.27,00004.76,00001.18,02.724,00.398,02.3,03.955,00.947,01.876,00.314,128.499,08.252,00.24,0.006,0008.3,G,0,0,0,0,0,0,0,0,0
G059.6027+00.9118,059.60268,+00.91183,294.89437,+23.99699,00.10,00.10,00053.77,00004.79,00068.76,00006.14,01.696,00.025,,01.720,00.035,01.673,00.034,41.386,06.904,00.24,0.013,0214.9,G,0,0,0,0,0,0,0,0,0
G060.8842-00.1286,060.88422,-00.12861,296.58393,+24.59146,00.10,00.10,00018.67,00001.76,00018.67,00001.96,01.500,00.040,,01.500,00.057,01.500,00.057,01.146,90.000,00.49,-0.061,0047.8,G,0,1,0,1,0,0,0,1,0
G061.4763+00.0892,061.47631,+00.08921,296.70445,+25.21222,00.11,00.11,00090.52,00008.06,00718.71,00064.37,06.536,00.004,06.4,,,,,,,00.46,-0.052,0196.3,P,0,1,0,1,1,0,0,1,0
G061.4770+00.0891,061.47701,+00.08915,296.70508,+25.21334,00.10,00.10,00064.38,00005.75,00066.92,00006.02,01.529,00.023,,01.559,00.033,01.500,00.032,84.606,07.573,00.53,0.150,0152.8,G,0,1,0,1,1,0,0,1,0
G061.7207+00.8630,061.72069,+00.86297,296.09849,+25.81206,00.18,00.18,00039.06,00003.48,00101.30,00009.82,02.428,00.006,01.9,,,,,,,00.23,0.006,0171.0,P,0,0,0,0,0,0,0,0,0
