   l      b x x    RA   x   Dec     size   type   1-GHz  spectral other
   x       x  x x x  (J2000.0)  x     x      x    flux   index    name(s)
  /deg  /deg /hh mm ss  /dd mm  /arcmin    x      /Jy    x	x
 107.0  +9.0  22 01 00  +66 30   180?    ?      11?     0.9?	x
 108.2  -0.6  22 53 40  +58 50   70x54   S       8      0.5	x
 109.1  -1.0  23 01 35  +58 53    28     S      20      0.45     CTB_109
 111.7  -2.1  23 23 26  +58 48     5     S    2300      0.77     Cassiopeia_A,3C461
 113.0  +0.2  23 26 50  +61 26   40x17?  ?       4      0.5?	x
 114.3  +0.3  23 37 00  +61 55   90x55   S       5.5    0.5	x
 116.5  +1.1  23 53 40  +63 15   80x60   S      10      0.5	x
 116.6 -26.1  00 23 00  +36 30   235     S       ?      ?	x
 116.9  +0.2  23 59 10  +62 26    34     S       8      0.57     CTB_1
 119.5 +10.2  00 06 40  +72 45    90?    S      36      0.6      CTA_1
 120.1  +1.4  00 25 18  +64 09     8     S      50      0.58     Tycho,3C10,SN1572
 126.2  +1.6  01 22 00  +64 15    70     S?      6      0.5	x
 127.1  +0.5  01 28 20  +63 10    45     S      12      0.45     R5
 130.7  +3.1  02 05 41  +64 49    9x5    F      33      0.07     3C58,SN1181
 132.7  +1.3  02 17 40  +62 45    80     S      45      0.6      HB3
 150.3  +4.5  04 27 00  +55 28  180x150  S       ?      ?	x
 152.4  -2.1  04 07 50  +49 11  100x95   S       3.5?   0.7?	x
 156.2  +5.7  04 58 40  +51 50   110     S       5      0.5	x
 159.6  +7.3  05 20 00  +50 00  240x180? S       ?      ?	x
 160.9  +2.6  05 01 00  +46 40  140x120  S     110      0.64     HB9
 166.0  +4.3  05 26 30  +42 56   55x35   S       7      0.37     VRO_42.05.01
 178.2  -4.2  05 25 05  +28 11   72x62   S       2      0.5	x
 179.0  +2.6  05 53 40  +31 05    70     S?      7      0.4	x
 180.0  -1.7  05 39 00  +27 50   180     S      65      varies   S147
 181.1  +9.5  06 26 40  +32 30    74     S       0.4?   0.4?	x
 182.4  +4.3  06 08 10  +29 00    50     S       0.5    0.4	x
 184.6  -5.8  05 34 31  +22 01    7x5    F     900      0.30     Crab_Nebula,3C144,SN1054
 189.1  +3.0  06 17 00  +22 34    45     C     165      0.36     IC443,3C157
 189.6  +3.3  06 19 40  +22 00    90?    S       ?      ?	x
 190.9  -2.2  06 01 55  +18 24   70x60   S       1.3?   0.7?	x
 203.1  +6.6  06 57 00  +11 40   150     S       ?      ?	x
 205.5  +0.5  06 39 00  +06 30   220     S     140      0.4      Monoceros_Nebula
 206.7  +5.9  07 01 00  +08 10   210     S       ?      ?	x
 206.9  +2.3  06 48 40  +06 26   60x40   S?      6      0.5      PKS_0646+06
 213.0  -0.6  06 50 50  -00 30  160x140? S      21      0.4	x
 249.5 +24.5  09 34 00  -17 00   260     S      27      0.7      Hoinga
 260.4  -3.4  08 22 10  -43 00   60x50   S     130      0.5      Puppis_A,MSH_08-44
 261.9  +5.5  09 04 20  -38 42   40x30   S      10?     0.4?	x
 263.9  -3.3  08 34 00  -45 50   255     C    1750      varies   Vela_(XYZ)
 266.2  -1.2  08 52 00  -46 20   120     S      50?     0.3?     RX_J0852.0-4622
 272.2  -3.2  09 06 50  -52 07    15?    S?      0.4    0.6	x
 279.0  +1.1  09 57 40  -53 15    95     S      30?     0.6?	x
 284.3  -1.8  10 18 15  -59 00    24?    S      11?     0.3?     MSH_10-53
 286.5  -1.2  10 35 40  -59 42   26x6    S?      1.4?   ?	x
 288.8  -6.3  10 30 20  -65 15  108x96   S      11      0.41	x
 289.7  -0.3  11 01 15  -60 18   18x14   S       6.2    0.2?	x
 290.1  -0.8  11 03 05  -60 56   19x14   S      42      0.4      MSH_11-61A
 291.0  -0.1  11 11 54  -60 38   15x13   C      16      0.29     (MSH_11-62)
 292.0  +1.8  11 24 36  -59 16   12x8    C      15      0.4      MSH_11-54
 292.2  -0.5  11 19 20  -61 28   20x15   S       7      0.5	x
 293.8  +0.6  11 35 00  -60 54    20     C       5?     0.6?	x
 294.1  -0.0  11 36 10  -61 38    40     S      >2?     ?	x
 296.1  -0.5  11 51 10  -62 34   37x25   S       8?     0.6?	x
 296.5 +10.0  12 09 40  -52 25   90x65   S      48      0.5      PKS_1209-51/52
 296.7  -0.9  11 55 30  -63 08   15x8    S       3      0.5	x
 296.8  -0.3  11 58 30  -62 35   20x14   S       9      0.6      1156-62
 298.5  -0.3  12 12 40  -62 52     5?    ?       5?     0.4?	x
 298.6  -0.0  12 13 41  -62 37   12x9    S       5?     0.3	x
 299.2  -2.9  12 15 13  -65 30   18x11   S       0.5?   ?	x
 299.6  -0.5  12 21 45  -63 09    13     S       1.0?   ?	x
 301.4  -1.0  12 37 55  -63 49   37x23   S       2.1?   ?	x
 302.3  +0.7  12 45 55  -62 08    17     S       5?     0.4?	x
 304.6  +0.1  13 05 59  -62 42     8     S      14      0.5      Kes_17
 306.3  -0.9  13 21 50  -63 34     4     S?      0.16?  0.5?	x
 308.1  -0.7  13 37 37  -63 04    13     S       1.2?   ?	x
 308.4  -1.4  13 41 30  -63 44   12x6?   S?      0.4?   ?	x
 308.8  -0.1  13 42 30  -62 23   30x20?  C?     15?     0.4?	x
 309.2  -0.6  13 46 31  -62 54   15x12   S       7?     0.4?	x
 309.8  +0.0  13 50 30  -62 05   25x19   S      17      0.5	x
 310.6  -1.6  14 00 45  -63 26    2.5    C?      ?      ?	x
 310.6  -0.3  13 58 00  -62 09     8     S       5?     ?        Kes_20B
 310.8  -0.4  14 00 00  -62 17    12     S       6?     ?        Kes_20A
 311.5  -0.3  14 05 38  -61 58     5     S       3?     0.5	x
 312.4  -0.4  14 13 00  -61 44    38     S      45      0.36	x
 312.5  -3.0  14 21 00  -64 12   20x18   S       3.5?   ?	x
 315.1  +2.7  14 24 30  -57 50  190x150  S       ?      ?	x
 315.4  -2.3  14 43 00  -62 30    42     S      49      0.6      RCW_86,MSH_14-63
 315.4  -0.3  14 35 55  -60 36   24x13   ?       8      0.4	x
 315.9  -0.0  14 38 25  -60 11   25x14   S       0.8?   ?	x
 316.3  -0.0  14 41 30  -60 00   29x14   S      20?     0.4      (MSH_14-57)
 317.3  -0.2  14 49 40  -59 46    11     S       4.7?   ?	x
 318.2  +0.1  14 54 50  -59 04   40x35   S      >3.9?   ?	x
 318.9  +0.4  14 58 30  -58 29   30x14   C       4?     0.2?	x
 320.4  -1.2  15 14 30  -59 08    35     C      60?     0.4      MSH_15-52,RCW_89
 320.6  -1.6  15 17 50  -59 16   60x30   S       ?      ?	x
 321.9  -1.1  15 23 45  -58 13    28     S      >3.4?   ?	x
 321.9  -0.3  15 20 40  -57 34   31x23   S      13      0.3	x
 322.1  +0.0  15 20 49  -57 10    8x4.5? S?      ?      ?	x
 322.5  -0.1  15 23 23  -57 06    15     C       1.5    0.4	x
 323.5  +0.1  15 28 42  -56 21    13     S       3?     0.4?	x
 323.7  -1.0  15 34 30  -57 12   51x38   S       ?      ?	x
 326.3  -1.8  15 53 00  -56 10    38     C     145      varies   MSH_15-56
 327.1  -1.1  15 54 25  -55 09    18     C       7      ?	x
 327.2  -0.1  15 50 55  -54 18     5     S       0.5    ?	x
 327.4  +0.4  15 48 20  -53 49    21     S      26      0.6      Kes_27
 327.4  +1.0  15 46 48  -53 20    14     S       1.9    ?	x
 327.6 +14.6  15 02 50  -41 56    30     S      19      0.6      SN1006,PKS_1459-41
 328.4  +0.2  15 55 30  -53 17     5     F      15      0.0      (MSH_15-57)
 329.7  +0.4  16 01 20  -52 18   40x33   S     >34?     ?	x
 330.0 +15.0  15 10 00  -40 00   180?    S     350?     0.5?     Lupus_Loop
 330.2  +1.0  16 01 06  -51 34    11     S?      5?     0.3	x
 332.0  +0.2  16 13 17  -50 53    12     S       8?     0.5	x
 332.4  -0.4  16 17 33  -51 02    10     S      28      0.5      RCW_103
 332.4  +0.1  16 15 20  -50 42    15     S      26      0.5      MSH_16-51,Kes_32
 332.5  -5.6  16 43 20  -54 30    35     S       2?     0.7?	x
 335.2  +0.1  16 27 45  -48 47    21     S      16      0.5	x
 336.7  +0.5  16 32 11  -47 19   14x10   S       6      0.5	x
 337.0  -0.1  16 35 57  -47 36    1.5    S       1.5    0.6?     (CTB_33)
 337.2  -0.7  16 39 28  -47 51     6     S       1.5    0.4	x
 337.2  +0.1  16 35 55  -47 20    3x2    ?       1.5?   ?	x
 337.3  +1.0  16 32 39  -46 36   15x12   S      16      0.55     Kes_40
 337.8  -0.1  16 39 01  -46 59    9x6    S      15      0.5      Kes_41
 338.1  +0.4  16 37 59  -46 24    15?    S       4?     0.4	x
 338.3  -0.0  16 41 00  -46 34     8     C?      7?     ?	x
 338.5  +0.1  16 41 09  -46 19     9     ?      12?     ?	x
 340.4  +0.4  16 46 31  -44 39   10x7    S       5      0.4	x
 340.6  +0.3  16 47 41  -44 34     6     S       5?     0.4?	x
 341.2  +0.9  16 47 35  -43 47   22x16   C       1.5?   0.6?	x
 341.9  -0.3  16 55 01  -44 01     7     S       2.5    0.5	x
 342.0  -0.2  16 54 50  -43 53   12x9    S       3.5?   0.4?	x
 342.1  +0.9  16 50 43  -43 04   10x9    S       0.5?   ?	x
 343.0  -6.0  17 25 00  -46 30   250     S       ?      ?        RCW_114
 343.1  -2.3  17 08 00  -44 16    32?    C?      8?     0.5?	x
 343.1  -0.7  17 00 25  -43 14   27x21   S       7.8    0.55	x
 344.7  -0.1  17 03 51  -41 42     8     C?      2.5?   0.3?	x
 345.1  -0.2  17 05 21  -41 26     6     S       1.4?   0.7?	x
 345.1  +0.2  17 03 40  -41 05    10     S       0.6?   0.6?	x
 345.7  -0.2  17 07 20  -40 53     6     S       0.6?   ?	x
 346.6  -0.2  17 10 19  -40 11     8     S       8?     0.5?	x
 347.3  -0.5  17 13 50  -39 45   65x55   S?     30?     ?        RX_J1713.7-3946
 348.5  -0.0  17 15 26  -38 28    10?    S?     10?     0.4?	x
 348.5  +0.1  17 14 06  -38 32    15     S      72      0.3      CTB_37A
 348.7  +0.3  17 13 55  -38 11    17?    S      26      0.3      CTB_37B
 348.8  +1.1  17 11 29  -37 36    10     S       0.6?   0.7?	x
 349.2  -0.1  17 17 15  -38 04    9x6    S       1.4?   ?	x
 349.7  +0.2  17 17 59  -37 26  2.5x2    S      20      0.5	x
 350.0  -2.0  17 27 50  -38 32    45     S      26      0.4	x
 350.1  -0.3  17 21 05  -37 27     4?    ?       6?     0.8?	x
 351.0  -5.4  17 46 00  -39 25    30     S       ?      ?	x
 351.2  +0.1  17 22 27  -36 11     7     C?      5?     0.4	x
 351.7  +0.8  17 21 00  -35 27   18x14   S      10      0.5?	x
 351.9  -0.9  17 28 52  -36 16   12x9    S       1.8?   ?	x
 352.7  -0.1  17 27 40  -35 07    8x6    S       4      0.6	x
 353.3  -1.1  17 33 10  -35 12    60     S      24?     0.85?	x
 353.6  -0.7  17 32 00  -34 44    30     S       2.5?   ?	x
 353.9  -2.0  17 38 55  -35 11    13     S       1?     0.5?	x
 354.1  +0.1  17 30 28  -33 46   15x3?   C?      ?      varies	x
 354.8  -0.8  17 36 00  -33 42    19     S       2.8?   ?	x
 355.4  +0.7  17 31 20  -32 26    25     S       5?     ?	x
 355.6  -0.0  17 35 16  -32 38    8x6    S       3?     ?	x
 355.9  -2.5  17 45 53  -33 43    13     S       8      0.5	x
 356.2  +4.5  17 19 00  -29 40    25     S       4      0.7	x
 356.3  -1.5  17 42 35  -32 52   20x15   S       3?     ?	x
 356.3  -0.3  17 37 56  -32 16   11x7    S       3?     ?	x
 357.7  -0.1  17 40 29  -30 58    8x3?   ?      37      0.4      MSH_17-39
 357.7  +0.3  17 38 35  -30 44    24     S      10      0.4?	x
 358.0  +3.8  17 26 00  -28 36    38     S       1.5?   ?	x
 358.1  +1.0  17 37 00  -29 59    20     S       2?     ?	x
 358.5  -0.9  17 46 10  -30 40    17     S       4?     ?	x
 359.0  -0.9  17 46 50  -30 16    23     S      23      0.5	x
 359.1  -0.5  17 45 30  -29 57    24     S      14      0.4?	x
 359.1  +0.9  17 39 36  -29 11   12x11   S       2?     ?	x
 359.2  -1.1  17 48 14  -30 12    5x4    S?      0.4?   1.1?	x
